Election: 2009 Consolidated
Jurisdiction:  Winnebago
Date:  2009-04-07 00:00:00
Registered Voters:  101913
Ballots Cast:  15473
Voter Turnout:  15
Active Precincts:  108

Election: 2009 Consolidated
Contest: C Loves Park Mayor
Candidate Name,Total Votes,Vote %
Contest: Rockford Twp Supervisor
Candidate Name,Total Votes,Vote %
Michael J. Goral (NP), 1480, 52.76, 
Don Hall (NP), 1325, 47.24, 

Contest: Rockford Twp Clerk
Candidate Name,Total Votes,Vote %
Diane Dal Pra Mitchl (NP), 1484, 53.3, 
Jeffery Holt, Jr. (NP), 1300, 46.7, 

Contest: Rockford Twp Assessor
Candidate Name,Total Votes,Vote %
Ken Crowley (NP), 2056, 100, 

Contest: Rockford Twp Hwy Commissioner
Candidate Name,Total Votes,Vote %
Peter M. MacKay (NP), 1643, 58.28, 
Daniel P. Conness (NP), 1176, 41.72, 

Contest: Rockford Twp Trustee
Candidate Name,Total Votes,Vote %
Frank Manzullo (NP), 1670, 16.83, 
John A. Rundquist (NP), 1415, 14.26, 
Kevin Horstman (NP), 1281, 12.91, 
Eli Nicolosi (NP), 1236, 12.46, 
Greg Tuite (NP), 1210, 12.2, 
Jasper St. Angel (NP), 1163, 11.72, 
Ruth Morgan (NP), 1010, 10.18, 
Jeff Polsean (NP), 936, 9.43, 

Contest: Rockton Twp Supervisor
Candidate Name,Total Votes,Vote %
Thomas E. Jencius (NP), 1425, 100, 

Contest: Rockton Twp Clerk
Candidate Name,Total Votes,Vote %
Barbara Bailor (NP), 1434, 100, 

Contest: Rockton Twp Assessor
Candidate Name,Total Votes,Vote %
Dana D. Adams (NP), 1330, 100, 

Contest: Rockton Twp Hwy Commissioner
Candidate Name,Total Votes,Vote %
Matthew S. Cuyler (NP), 1395, 100, 

Contest: Rockton Twp Trustee
Candidate Name,Total Votes,Vote %
Kathie Gummow (NP), 1335, 26.52, 
Peter C. Church (NP), 918, 18.24, 
Paul J. Williams (NP), 871, 17.31, 
Dean E. Mohring (NP), 762, 15.14, 
Mark C. Micka (NP), 653, 12.97, 
Russell F. Tiritilli (NP), 494, 9.82, 

Contest: Roscoe Twp Supervisor
Candidate Name,Total Votes,Vote %
Renee McNitt (NP), 1169, 100, 

Contest: Roscoe Twp Clerk
Candidate Name,Total Votes,Vote %
Pat Zintak (NP), 1170, 100, 

Contest: Roscoe Twp Assessor
Candidate Name,Total Votes,Vote %
Joann Hawes (NP), 1148, 100, 

Contest: Roscoe Twp Hwy Commissioner
Candidate Name,Total Votes,Vote %
Matthew Servant (NP), 1155, 100, 

Contest: Roscoe Twp Trustee
Candidate Name,Total Votes,Vote %
Pat Henderson (NP), 927, 21.64, 
Dave Wade (NP), 914, 21.34, 
Todd Piper (NP), 905, 21.13, 
Tom Hawes (NP), 877, 20.48, 
Thomas L. Sink (NP), 660, 15.41, 

Contest: Seward Twp Supervisor
Candidate Name,Total Votes,Vote %
Garelt S. Stahl (NP), 142, 100, 

Contest: Seward Twp Clerk
Candidate Name,Total Votes,Vote %
James K. Monge (NP), 134, 100, 

Contest: Seward Twp Hwy Commissioner
Candidate Name,Total Votes,Vote %
Jim Stahl (NP), 142, 100, 

Contest: Seward Twp Trustee
Candidate Name,Total Votes,Vote %
John H. Behn, Jr. (NP), 128, 25.86, 
Gary R. Johnson (NP), 125, 25.25, 
Barbara L. Hazzard (NP), 124, 25.05, 
Richard Beuth (NP), 118, 23.84, 

Contest: Shirland Twp Supervisor
Candidate Name,Total Votes,Vote %
Helen J. Weaver (NP), 85, 100, 

Contest: Shirland Twp Clerk
Candidate Name,Total Votes,Vote %
LaNita J. Gillett (NP), 81, 100, 

Contest: Shirland Twp Hwy Commissioner
Candidate Name,Total Votes,Vote %
Curtis B. McNames (NP), 81, 100, 

Contest: Shirland Twp Trustee
Candidate Name,Total Votes,Vote %
Kevin E. Savage (NP), 67, 29, 
R. Scott Twigg (NP), 62, 26.84, 
Marianne Eshleman (NP), 52, 22.51, 
MaryLou Pertz (NP), 50, 21.65, 

Contest: Winnebago Twp Supervisor
Candidate Name,Total Votes,Vote %
Dennis L. Noegel (NP), 707, 100, 

Contest: Winnebago Twp Clerk
Candidate Name,Total Votes,Vote %
Lorita A. Ooyen (NP), 699, 100, 

Contest: Winnebago Twp Hwy Commissioner
Candidate Name,Total Votes,Vote %
Barry J. Palm (NP), 738, 100, 

Contest: Winnebago Twp Trustee
Candidate Name,Total Votes,Vote %
Mark R. Hazzard (NP), 568, 26.91, 
David Heeren (NP), 551, 26.1, 
Jack R. Rowley (NP), 545, 25.82, 
Leslee A. Dimke (NP), 447, 21.17, 

Contest: MTA 2 Durand-Laona
Candidate Name,Total Votes,Vote %
Paula Cull (NP), 305, 100, 

Contest: MTA 3 Pecatonica-Seward
Candidate Name,Total Votes,Vote %
Scott Whitney (NP), 973, 100, 

Contest: Rockford Park
Candidate Name,Total Votes,Vote %
Robert Schlensker (NP), 1340, 22.14, 
Chuck Brown (NP), 1231, 20.34, 
Tyler Smith (NP), 1177, 19.44, 
Michael C. Paul (NP), 1155, 19.08, 
Ian K. Linnabary (NP), 1150, 19, 

Contest: Sumner Park
Candidate Name,Total Votes,Vote %
John Blassingham (NP), 811, 96.2, 
Write-in (NP), 32, 3.8, 

Contest: Winnebago Park Full Term
Candidate Name,Total Votes,Vote %
Dawn Nailor (NP), 543, 43.23, 
Bruce Daub (NP), 463, 36.86, 
Gregory R. McIntyre (NP), 250, 19.9, 

Contest: Winnebago Park Partial Term
Candidate Name,Total Votes,Vote %
Mary Beth Elsen (NP), 718, 100, 

Contest: Cherry Valley Library
Candidate Name,Total Votes,Vote %
Susan McCabe (NP), 1158, 56.46, 
Steve Furness (NP), 893, 43.54, 

Contest: Pecatonica Library
Candidate Name,Total Votes,Vote %
Debora A Gulbrandsen (NP), 731, 50.31, 
Mary Ann Arenson (NP), 722, 49.69, 

Contest: North Sub Library
Candidate Name,Total Votes,Vote %
Jane E. Burden (NP), 4795, 39.33, 
Thomas A. Powers (NP), 3756, 30.81, 
Nicholas S. Nelson (NP), 3641, 29.86, 

Contest: Talcott Library
Candidate Name,Total Votes,Vote %
Anita Stiffler (NP), 836, 26.68, 
Cheryl Butler (NP), 807, 25.75, 
Gary Kovanda (NP), 752, 23.99, 
Alan Mohring (NP), 739, 23.58, 

Contest: Winnebago Library Full Term
Candidate Name,Total Votes,Vote %
Michael K. Reinders (NP), 768, 53.41, 
Cindy McIntyre (NP), 670, 46.59, 

Contest: Harlem CSD 122 Full Term
Candidate Name,Total Votes,Vote %
Kathy Geyer (NP), 2800, 17.08, 
Patti Lawrence (NP), 2739, 16.71, 
Jacquelyn J. Ruch (NP), 2312, 14.1, 
George Russell (NP), 2150, 13.12, 
Larry L. Barger Jr. (NP), 2040, 12.45, 
Willie Ashford Jr. (NP), 1593, 9.72, 
Vic Ranieri (NP), 1438, 8.77, 
James Boesen (NP), 1320, 8.05, 

Contest: Kinnikinnick CUSD 131
Candidate Name,Total Votes,Vote %
Chuck Johnson (NP), 773, 34.37, 
Terra Anderson (NP), 729, 32.41, 
Edward B. Buhlmann (NP), 670, 29.79, 
Write-in (NP), 77, 3.42, 

Contest: Prairie Hill CCSD 133
Candidate Name,Total Votes,Vote %
Cynthia Servant (NP), 259, 25.34, 
Jeffrey R. Aronson (NP), 258, 25.24, 
T.J. Larsen (NP), 253, 24.76, 
Colleen Bell (NP), 252, 24.66, 

Contest: Shirland CCSD 134 Partial Term
Candidate Name,Total Votes,Vote %
William G. Diemel (NP), 96, 90.57, 
Write-in (NP), 10, 9.43, 

Contest: Shirland CCSD 134 Full Term
Candidate Name,Total Votes,Vote %
Curtiss R. Dahl (NP), 91, 50.56, 
Bridget Fraser (NP), 89, 49.44, 

Contest: Rockton SD 140
Candidate Name,Total Votes,Vote %
Laura Neece (NP), 960, 25.92, 
Sarah Praneis (NP), 930, 25.11, 
James Meason (NP), 928, 25.05, 
Chanice Michowski (NP), 886, 23.92, 

Contest: North Boone CUSD 200
Candidate Name,Total Votes,Vote %
Donald Ward (NP), 2, 25, 
Laura Zwart (NP), 2, 25, 
Glen Gratz (NP), 2, 25, 
Thomas Kinser (NP), 2, 25, 

Contest: Rockford SD 205 A
Candidate Name,Total Votes,Vote %
Lisa Jackson (NP), 79, 51.97, 
Dyanna M. Chandler (NP), 73, 48.03, 

Contest: Rockford SD 205 D
Candidate Name,Total Votes,Vote %
Jude B. Makulec (NP), 396, 61.68, 
Frank Hood (NP), 246, 38.32, 

Contest: Rockford SD 205 F
Candidate Name,Total Votes,Vote %
Harmon L. Mitchell (NP), 844, 65.22, 
Jaime J. Salgado (NP), 450, 34.78, 

Contest: Hononegah CHSD 207
Candidate Name,Total Votes,Vote %
Diana LaForge (NP), 1964, 31.8, 
Robert &#039;Bob&#039; Geddeis (NP), 1944, 31.47, 
Sandra D. Fordell (NP), 1890, 30.6, 
Write-in (NP), 379, 6.14, 

Contest: Meridian CUSD 223
Candidate Name,Total Votes,Vote %
Kevin Glendenning (NP), 69, 25.84, 
Ronald Steenken (NP), 59, 22.1, 
Steven Pierce (NP), 51, 19.1, 
Robert Mellon (NP), 47, 17.6, 
Timothy Jagielski (NP), 41, 15.36, 

Contest: S Beloit CUSD 320
Candidate Name,Total Votes,Vote %
Linda L. Chambers (NP), 497, 28.74, 
David W. Brockman (NP), 482, 27.88, 
Daniel A. Lindsey (NP), 382, 22.09, 
Leon J. Anderson (NP), 368, 21.28, 

Contest: Pecatonica CUSD 321
Candidate Name,Total Votes,Vote %
Bill Freiburger (NP), 721, 29.34, 
Sally Hoff (NP), 665, 27.07, 
Michael Johnson (NP), 557, 22.67, 
Bob Squires (NP), 514, 20.92, 

Contest: Durand CUSD 322 District 1
Candidate Name,Total Votes,Vote %
Edward Slocum (NP), 302, 35.03, 
Ed Johnston (NP), 282, 32.71, 
Thomas Sullivan (NP), 278, 32.25, 

Contest: Durand CUSD 322 District 2
Candidate Name,Total Votes,Vote %
Kate Kinney (NP), 262, 66.67, 
Susan K. Kinney (NP), 131, 33.33, 

Contest: Winnebago CUSD 323
Candidate Name,Total Votes,Vote %
Elizabeth Lovett (NP), 656, 25.52, 
Timothy L. Turner (NP), 565, 21.98, 
Chris Schoeneweiss (NP), 522, 20.3, 
Paul James Happach (NP), 468, 18.2, 
Christopher Weinrich (NP), 360, 14, 

Contest: Hiawatha CUSD 426 Partial Term
Candidate Name,Total Votes,Vote %
Eric Baron (NP), 6, 100, 

Contest: Hiawatha CUSD 426 2 Franklin
Candidate Name,Total Votes,Vote %
Ryan J. Block (NP), 6, 42.86, 
Sharon M. Miller (NP), 5, 35.71, 
James C. Williams (NP), 3, 21.43, 

Contest: Hiawatha CUSD 426 Remaing Townships
Candidate Name,Total Votes,Vote %
Pamela Clark (NP), 7, 100, 

Contest: Rock Valley CC 511
Candidate Name,Total Votes,Vote %
Katherine M. Kelley (NP), 6974, 31, 
Randall J. Schaefer (NP), 6261, 27.83, 
Linda D. Smith (NP), 5931, 26.36, 
Dorothy Reddic (NP), 3330, 14.8, 

Contest: Kishwaukee CC 523
Candidate Name,Total Votes,Vote %
Linda R. Mason (NP), 7, 50, 
Mark Pietrowski Jr. (NP), 6, 42.86, 
Samuel-Louis Bandy (NP), 1, 7.14, 

Contest: Pecatonica Fire
Candidate Name,Total Votes,Vote %
Mark Highland (NP), 777, 50.42, 
Scott E. Dahl (NP), 764, 49.58, 

Contest: Rockton Fire Full Term
Candidate Name,Total Votes,Vote %
Bryan Northrop (NP), 443, 36.22, 
Robert Glenny (NP), 424, 34.67, 
Bruce Lans (NP), 356, 29.11, 

Contest: Rockton Fire Partial Term
Candidate Name,Total Votes,Vote %
Janet L. Turner (NP), 733, 56.56, 
William Campbell (NP), 563, 43.44, 

Contest: Stillman Valley Fire
Candidate Name,Total Votes,Vote %
Robert Brass (NP), 70, 64.22, 
Silas Bucey (NP), 39, 35.78, 

Contest: Winnebago County FPD 1
Candidate Name,Total Votes,Vote %
Gerald O. Duerst (NP), 410, 100, 

Contest: Reg Board Winnebago-Boone
Candidate Name,Total Votes,Vote %
Thomas J. Ferrara (NP), 6890, 52.23, 
Dennis Ellingson (NP), 6301, 47.77, 

Contest: Reg Board Dekalb Partial Term
Candidate Name,Total Votes,Vote %
Charles G. Rose (NP), 8, 100, 

Contest: Reg Board Lee-Ogle
Candidate Name,Total Votes,Vote %
Thomas J. Brooks (NP), 71, 62.83, 
Connie Shannon (NP), 42, 37.17, 

Contest: C South Beloit Proposition
Candidate Name,Total Votes,Vote %
NO (NP), 600, 72.29, 
YES (NP), 230, 27.71, 

Contest: Seward Twp Road District Proposition
Candidate Name,Total Votes,Vote %
YES (NP), 83, 53.21, 
NO (NP), 73, 46.79, 

Contest: Meridan CUSD 223 Proposition
Candidate Name,Total Votes,Vote %
NO (NP), 66, 68.04, 
YES (NP), 31, 31.96, 

Contest: Hiawatha CUSD 426 $5M Proposition
Candidate Name,Total Votes,Vote %
NO (NP), 6, 66.67, 
YES (NP), 3, 33.33, 

Contest: Hiawatha CUSD 426 $2.4M Proposition
Candidate Name,Total Votes,Vote %
NO (NP), 6, 66.67, 
YES (NP), 3, 33.33, 

