




Precinct                      Registered Voters             Ballots Cast                  Voter Turnout                 
JOLIET PCT 028                1268                          84                            6.62%
JOLIET PCT 029                1263                          107                           8.47%
JOLIET PCT 030                1248                          116                           9.29%
JOLIET PCT 031                1169                          141                           12.06%
JOLIET PCT 032                1215                          92                            7.57%
JOLIET PCT 033                1111                          165                           14.85%
JOLIET PCT 034                1300                          168                           12.92%
JOLIET PCT 035                1329                          220                           16.55%
JOLIET PCT 036                1197                          158                           13.20%
JOLIET PCT 037                1204                          159                           13.21%
LOCKPORT PCT 001              1762                          634                           35.98%
LOCKPORT PCT 002              1535                          127                           8.27%
LOCKPORT PCT 003              1435                          119                           8.29%
LOCKPORT PCT 004              1262                          116                           9.19%
LOCKPORT PCT 005              1286                          237                           18.43%
LOCKPORT PCT 006              1501                          86                            5.73%
LOCKPORT PCT 007              1489                          112                           7.52%
LOCKPORT PCT 008              1291                          92                            7.13%
LOCKPORT PCT 009              1752                          437                           24.94%
LOCKPORT PCT 010              1355                          168                           12.40%
LOCKPORT PCT 011              1355                          198                           14.61%
LOCKPORT PCT 012              1326                          172                           12.97%
LOCKPORT PCT 013              2014                          616                           30.59%
LOCKPORT PCT 014              1172                          190                           16.21%
LOCKPORT PCT 015              1151                          89                            7.73%
LOCKPORT PCT 016              1426                          214                           15.01%
LOCKPORT PCT 017              1412                          303                           21.46%
LOCKPORT PCT 018              1459                          210                           14.39%
LOCKPORT PCT 019              1184                          262                           22.13%
LOCKPORT PCT 020              1248                          184                           14.74%
LOCKPORT PCT 021              1353                          142                           10.50%
LOCKPORT PCT 022              1246                          223                           17.90%
LOCKPORT PCT 023              1034                          173                           16.73%
LOCKPORT PCT 024              1067                          110                           10.31%
MANHATTAN PCT 001             1340                          183                           13.66%
MANHATTAN PCT 002             1431                          236                           16.49%
MANHATTAN PCT 003             1596                          268                           16.79%
MANHATTAN PCT 004             1309                          151                           11.54%
MONEE PCT 001                 1090                          131                           12.02%
MONEE PCT 002                 1252                          154                           12.30%
MONEE PCT 003                 1248                          173                           13.86%
MONEE PCT 004                 1257                          248                           19.73%
MONEE PCT 005                 1247                          149                           11.95%
MONEE PCT 006                 829                           103                           12.42%
MONEE PCT 007                 1167                          140                           12.00%
MONEE PCT 008                 1086                          179                           16.48%
NEW LENOX PCT 001             1206                          182                           15.09%
NEW LENOX PCT 002             1219                          290                           23.79%
NEW LENOX PCT 003             1133                          189                           16.68%
NEW LENOX PCT 004             1014                          289                           28.50%
NEW LENOX PCT 005             1224                          300                           24.51%
NEW LENOX PCT 006             1283                          310                           24.16%
NEW LENOX PCT 007             1532                          342                           22.32%
NEW LENOX PCT 008             1380                          299                           21.67%
NEW LENOX PCT 009             1365                          335                           24.54%
NEW LENOX PCT 010             1271                          371                           29.19%
NEW LENOX PCT 011             1377                          339                           24.62%
NEW LENOX PCT 012             1371                          213                           15.54%
NEW LENOX PCT 013             1312                          273                           20.81%
NEW LENOX PCT 014             1496                          353                           23.60%
NEW LENOX PCT 015             1243                          297                           23.89%
NEW LENOX PCT 016             1274                          312                           24.49%
NEW LENOX PCT 017             1394                          324                           23.24%
NEW LENOX PCT 018             1229                          243                           19.77%
NEW LENOX PCT 019             1354                          301                           22.23%
NEW LENOX PCT 020             1530                          346                           22.61%
PEOTONE PCT 001               1371                          284                           20.71%
PEOTONE PCT 002               1440                          232                           16.11%
PLAINFIELD PCT 001            1308                          165                           12.61%
PLAINFIELD PCT 002            1255                          153                           12.19%
PLAINFIELD PCT 003            1204                          244                           20.27%
PLAINFIELD PCT 004            683                           49                            7.17%
PLAINFIELD PCT 005            1208                          131                           10.84%
PLAINFIELD PCT 006            1226                          135                           11.01%
PLAINFIELD PCT 007            1468                          82                            5.59%
PLAINFIELD PCT 008            1323                          207                           15.65%
PLAINFIELD PCT 009            1475                          235                           15.93%
PLAINFIELD PCT 010            1236                          248                           20.06%
PLAINFIELD PCT 011            649                           44                            6.78%
PLAINFIELD PCT 012            1155                          124                           10.74%
PLAINFIELD PCT 013            1322                          262                           19.82%
PLAINFIELD PCT 014            1222                          218                           17.84%
PLAINFIELD PCT 015            1231                          243                           19.74%
PLAINFIELD PCT 016            1384                          242                           17.49%
PLAINFIELD PCT 017            1415                          129                           9.12%
PLAINFIELD PCT 018            1390                          128                           9.21%
PLAINFIELD PCT 019            1168                          99                            8.48%
PLAINFIELD PCT 020            1312                          156                           11.89%
PLAINFIELD PCT 021            1173                          191                           16.28%
PLAINFIELD PCT 022            1074                          167                           15.55%
PLAINFIELD PCT 023            1174                          167                           14.22%
PLAINFIELD PCT 024            1228                          236                           19.22%
PLAINFIELD PCT 025            1343                          100                           7.45%
PLAINFIELD PCT 026            1141                          71                            6.22%
PLAINFIELD PCT 027            1397                          107                           7.66%
PLAINFIELD PCT 028            1279                          129                           10.09%
PLAINFIELD PCT 029            1220                          131                           10.74%
PLAINFIELD PCT 030            1252                          167                           13.34%
PLAINFIELD PCT 031            1206                          160                           13.27%
PLAINFIELD PCT 032            1155                          136                           11.77%
PLAINFIELD PCT 033            1320                          193                           14.62%
PLAINFIELD PCT 034            1047                          117                           11.17%
PLAINFIELD PCT 035            1163                          115                           9.89%
PLAINFIELD PCT 036            1129                          188                           16.65%
REED PCT 001                  1370                          203                           14.82%
REED PCT 002                  1316                          219                           16.64%
REED PCT 003                  1393                          207                           14.86%
TROY PCT 001                  1402                          112                           7.99%
TROY PCT 002                  1311                          121                           9.23%
TROY PCT 003                  1302                          122                           9.37%
TROY PCT 004                  1264                          185                           14.64%
TROY PCT 005                  1192                          260                           21.81%
TROY PCT 006                  853                           139                           16.30%
TROY PCT 007                  1377                          213                           15.47%
TROY PCT 008                  1204                          258                           21.43%
TROY PCT 009                  1281                          287                           22.40%
TROY PCT 010                  1377                          320                           23.24%
TROY PCT 011                  1562                          433                           27.72%
TROY PCT 012                  1407                          286                           20.33%
TROY PCT 013                  1490                          377                           25.30%
TROY PCT 014                  1367                          283                           20.70%
TROY PCT 015                  1442                          347                           24.06%
TROY PCT 016                  1406                          270                           19.20%
TROY PCT 017                  1420                          336                           23.66%
TROY PCT 018                  1183                          172                           14.54%
TROY PCT 019                  1213                          115                           9.48%
TROY PCT 020                  1423                          293                           20.59%
TROY PCT 021                  1161                          187                           16.11%
TROY PCT 022                  690                           147                           21.30%
TROY PCT 023                  1181                          235                           19.90%
WASHINGTON PCT 001            1202                          237                           19.72%
WASHINGTON PCT 002            1348                          235                           17.43%
WASHINGTON PCT 003            1206                          217                           17.99%
WESLEY PCT 001                1468                          223                           15.19%
WHEATLAND PCT 001             1629                          722                           44.32%
WHEATLAND PCT 002             1245                          260                           20.88%
WHEATLAND PCT 003             1297                          170                           13.11%
WHEATLAND PCT 004             1735                          165                           9.51%
WHEATLAND PCT 005             1524                          196                           12.86%
WHEATLAND PCT 006             1211                          279                           23.04%
WHEATLAND PCT 007             1340                          244                           18.21%
WHEATLAND PCT 008             1329                          190                           14.30%
WHEATLAND PCT 009             1516                          298                           19.66%
WHEATLAND PCT 010             1323                          168                           12.70%
WHEATLAND PCT 011             1267                          135                           10.66%
WHEATLAND PCT 012             1305                          139                           10.65%
WHEATLAND PCT 013             1202                          165                           13.73%
WHEATLAND PCT 014             1432                          237                           16.55%
WHEATLAND PCT 015             1307                          139                           10.64%
WHEATLAND PCT 016             1483                          244                           16.45%
WHEATLAND PCT 017             1434                          174                           12.13%
WHEATLAND PCT 018             1402                          221                           15.76%
WHEATLAND PCT 019             1156                          152                           13.15%
WHEATLAND PCT 020             1178                          178                           15.11%
WHEATLAND PCT 021             1128                          158                           14.01%
WHEATLAND PCT 022             1224                          139                           11.36%
WHEATLAND PCT 023             1521                          144                           9.47%
WHEATLAND PCT 024             1240                          141                           11.37%
WHEATLAND PCT 025             1457                          167                           11.46%
WHEATLAND PCT 026             1602                          308                           19.23%
WHEATLAND PCT 027             1238                          91                            7.35%
WHEATLAND PCT 028             1539                          210                           13.65%
WHEATLAND PCT 029             1517                          233                           15.36%
WHEATLAND PCT 030             1463                          202                           13.81%
WILL PCT 001                  1094                          212                           19.38%
WILMINGTON PCT 001            1298                          178                           13.71%
WILMINGTON PCT 002            1297                          200                           15.42%
WILMINGTON PCT 003            1286                          205                           15.94%
WILTON PCT 001                594                           214                           36.03%
Total:                        389369                        60719                         15.59%

                                                                                            BALLOTS CAST - REPUBLICAN (Vote For 0)
                                                            BALLOTS CAST - REPUBLICAN                                                                                                                             
Precinct                      Registered Voters             ELECTION DAY                  EARLY VOTING/MAIL             PROVISIONAL                   CITY/AURORA                   Choice Total                  Total                         
CHANNAHON PCT 001             1320                          171                           20                            1                             0                             192                           192                           
CHANNAHON PCT 002             1546                          210                           21                            1                             0                             232                           232                           
CHANNAHON PCT 003             1411                          189                           32                            0                             0                             221                           221                           
CHANNAHON PCT 004             1283                          173                           16                            2                             0                             191                           191                           
CHANNAHON PCT 005             1351                          108                           10                            0                             0                             118                           118                           
CRETE PCT 001                 1302                          95                            6                             0                             0                             101                           101                           
CRETE PCT 002                 1292                          67                            3                             1                             0                             71                            71                            
CRETE PCT 003                 1217                          96                            3                             1                             0                             100                           100                           
CRETE PCT 004                 1246                          117                           20                            0                             0                             137                           137                           
CRETE PCT 005                 1253                          98                            5                             1                             0                             104                           104                           
CRETE PCT 006                 1291                          129                           19                            0                             0                             148                           148                           
CRETE PCT 007                 1196                          111                           8                             1                             0                             120                           120                           
CRETE PCT 008                 1311                          132                           5                             0                             0                             137                           137                           
CRETE PCT 009                 1185                          153                           4                             0                             0                             157                           157                           
CRETE PCT 010                 987                           89                            6                             0                             0                             95                            95                            
CRETE PCT 011                 1127                          171                           14                            0                             0                             185                           185                           
CRETE PCT 012                 1033                          167                           10                            1                             0                             178                           178                           
CUSTER PCT 001                984                           167                           6                             1                             0                             174                           174                           
DU PAGE PCT 001               1486                          177                           15                            0                             0                             192                           192                           
DU PAGE PCT 002               1398                          172                           17                            0                             0                             189                           189                           
DU PAGE PCT 003               1462                          211                           12                            6                             0                             229                           229                           
DU PAGE PCT 004               1142                          133                           12                            0                             0                             145                           145                           
DU PAGE PCT 005               1146                          125                           9                             0                             0                             134                           134                           
DU PAGE PCT 006               1129                          129                           9                             0                             0                             138                           138                           
DU PAGE PCT 007               1284                          221                           13                            1                             0                             235                           235                           
DU PAGE PCT 008               1296                          90                            24                            0                             0                             114                           114                           
DU PAGE PCT 009               1016                          86                            6                             2                             0                             94                            94                            
DU PAGE PCT 010               1373                          76                            6                             0                             0                             82                            82                            
DU PAGE PCT 011               1287                          95                            6                             0                             0                             101                           101                           
DU PAGE PCT 012               1235                          127                           5                             1                             0                             133                           133                           
DU PAGE PCT 013               1458                          63                            12                            0                             0                             75                            75                            
DU PAGE PCT 014               1316                          138                           10                            0                             0                             148                           148                           
DU PAGE PCT 015               1180                          83                            7                             0                             0                             90                            90                            
DU PAGE PCT 016               1316                          112                           6                             0                             0                             118                           118                           
DU PAGE PCT 017               1421                          84                            8                             0                             0                             92                            92                            
DU PAGE PCT 018               1323                          95                            14                            2                             0                             111                           111                           
DU PAGE PCT 019               1392                          90                            4                             0                             0                             94                            94                            
DU PAGE PCT 020               1253                          65                            5                             0                             0                             70                            70                            
DU PAGE PCT 021               1430                          102                           8                             1                             0                             111                           111                           
DU PAGE PCT 022               1422                          118                           5                             0                             0                             123                           123                           
DU PAGE PCT 023               1249                          68                            5                             2                             0                             75                            75                            
DU PAGE PCT 024               1014                          78                            10                            1                             0                             89                            89                            
DU PAGE PCT 025               1234                          100                           10                            0                             0                             110                           110                           
DU PAGE PCT 026               1195                          89                            7                             0                             0                             96                            96                            
DU PAGE PCT 027               1477                          62                            9                             1                             0                             72                            72                            
DU PAGE PCT 028               1436                          62                            11                            0                             0                             73                            73                            
DU PAGE PCT 029               1275                          66                            2                             1                             0                             69                            69                            
DU PAGE PCT 030               1208                          51                            2                             3                             0                             56                            56                            
DU PAGE PCT 031               1122                          91                            2                             0                             0                             93                            93                            
DU PAGE PCT 032               1549                          131                           8                             1                             0                             140                           140                           
DU PAGE PCT 033               1384                          106                           11                            0                             0                             117                           117                           
DU PAGE PCT 034               985                           208                           22                            3                             0                             233                           233                           
DU PAGE PCT 035               912                           16                            1                             0                             0                             17                            17                            
DU PAGE PCT 036               1597                          120                           3                             0                             0                             123                           123                           
DU PAGE PCT 037               1337                          115                           4                             0                             0                             119                           119                           
FLORENCE PCT 001              594                           75                            10                            2                             0                             87                            87                            
FRANKFORT PCT 001             1298                          201                           23                            0                             0                             224                           224                           
FRANKFORT PCT 002             1352                          200                           34                            2                             0                             236                           236                           
FRANKFORT PCT 003             1367                          177                           9                             0                             0                             186                           186                           
FRANKFORT PCT 004             1245                          145                           26                            1                             0                             172                           172                           
FRANKFORT PCT 005             1229                          140                           23                            0                             0                             163                           163                           
