




Precinct                      Registered Voters             Ballots Cast                  Voter Turnout                 
DU PAGE PCT 024               1011                          103                           10.19%
DU PAGE PCT 025               1224                          120                           9.80%
DU PAGE PCT 026               1192                          108                           9.06%
DU PAGE PCT 027               1495                          98                            6.56%
DU PAGE PCT 028               1471                          100                           6.80%
DU PAGE PCT 029               1297                          72                            5.55%
DU PAGE PCT 030               1223                          80                            6.54%
DU PAGE PCT 031               1137                          63                            5.54%
DU PAGE PCT 032               1568                          133                           8.48%
DU PAGE PCT 033               1404                          97                            6.91%
DU PAGE PCT 034               983                           130                           13.22%
DU PAGE PCT 035               941                           6                             0.64%
DU PAGE PCT 036               1601                          111                           6.93%
DU PAGE PCT 037               1348                          122                           9.05%
FLORENCE PCT 001              616                           141                           22.89%
FRANKFORT PCT 001             1287                          182                           14.14%
FRANKFORT PCT 002             1388                          235                           16.93%
FRANKFORT PCT 003             1367                          218                           15.95%
FRANKFORT PCT 004             1251                          119                           9.51%
FRANKFORT PCT 005             1235                          163                           13.20%
FRANKFORT PCT 006             1209                          244                           20.18%
FRANKFORT PCT 007             1251                          163                           13.03%
FRANKFORT PCT 008             1382                          92                            6.66%
FRANKFORT PCT 009             1324                          179                           13.52%
FRANKFORT PCT 010             1268                          191                           15.06%
FRANKFORT PCT 011             1182                          161                           13.62%
FRANKFORT PCT 012             1208                          235                           19.45%
FRANKFORT PCT 013             1134                          136                           11.99%
FRANKFORT PCT 014             1296                          76                            5.86%
FRANKFORT PCT 015             1255                          53                            4.22%
FRANKFORT PCT 016             1338                          68                            5.08%
FRANKFORT PCT 017             1683                          281                           16.70%
FRANKFORT PCT 018             1250                          113                           9.04%
FRANKFORT PCT 019             1302                          72                            5.53%
FRANKFORT PCT 020             1382                          80                            5.79%
FRANKFORT PCT 021             1167                          118                           10.11%
FRANKFORT PCT 022             1278                          89                            6.96%
FRANKFORT PCT 023             1212                          96                            7.92%
FRANKFORT PCT 024             1211                          62                            5.12%
FRANKFORT PCT 025             1199                          129                           10.76%
FRANKFORT PCT 026             1286                          156                           12.13%
FRANKFORT PCT 027             1056                          66                            6.25%
FRANKFORT PCT 028             1351                          70                            5.18%
FRANKFORT PCT 029             1500                          100                           6.67%
GREEN GARDEN PCT 001          1281                          34                            2.65%
GREEN GARDEN PCT 002          1287                          28                            2.18%
HOMER PCT 001                 1253                          154                           12.29%
HOMER PCT 002                 1457                          444                           30.47%
HOMER PCT 003                 1252                          398                           31.79%
HOMER PCT 004                 1397                          492                           35.22%
HOMER PCT 005                 1145                          434                           37.90%
HOMER PCT 006                 1274                          351                           27.55%
HOMER PCT 007                 1337                          513                           38.37%
HOMER PCT 008                 1248                          384                           30.77%
HOMER PCT 009                 1155                          339                           29.35%
HOMER PCT 010                 1425                          258                           18.11%
HOMER PCT 011                 1375                          466                           33.89%
HOMER PCT 012                 1456                          445                           30.56%
HOMER PCT 013                 1229                          189                           15.38%
HOMER PCT 014                 1906                          324                           17.00%
HOMER PCT 015                 1617                          266                           16.45%
HOMER PCT 016                 1189                          267                           22.46%
HOMER PCT 017                 1452                          488                           33.61%
HOMER PCT 018                 1627                          182                           11.19%
JACKSON PCT 001               1408                          178                           12.64%
JACKSON PCT 002               1365                          195                           14.29%
JOLIET PCT 001                1367                          208                           15.22%
JOLIET PCT 002                983                           298                           30.32%
JOLIET PCT 003                883                           261                           29.56%
JOLIET PCT 004                1216                          246                           20.23%
JOLIET PCT 005                1297                          134                           10.33%
JOLIET PCT 006                1324                          201                           15.18%
JOLIET PCT 007                1075                          216                           20.09%
JOLIET PCT 008                1137                          243                           21.37%
JOLIET PCT 009                1267                          188                           14.84%
JOLIET PCT 010                1117                          340                           30.44%
JOLIET PCT 011                1246                          241                           19.34%
JOLIET PCT 012                1284                          211                           16.43%
JOLIET PCT 013                1231                          133                           10.80%
JOLIET PCT 014                1360                          173                           12.72%
JOLIET PCT 015                1276                          95                            7.45%
JOLIET PCT 016                1228                          218                           17.75%
JOLIET PCT 017                1301                          475                           36.51%
JOLIET PCT 018                1291                          643                           49.81%
JOLIET PCT 019                1184                          365                           30.83%
JOLIET PCT 020                1261                          316                           25.06%
JOLIET PCT 021                1363                          459                           33.68%
JOLIET PCT 022                1373                          274                           19.96%
JOLIET PCT 023                1579                          201                           12.73%
JOLIET PCT 024                1142                          141                           12.35%
JOLIET PCT 025                1208                          300                           24.83%
JOLIET PCT 026                1123                          274                           24.40%
JOLIET PCT 027                646                           91                            14.09%
JOLIET PCT 028                1258                          165                           13.12%
JOLIET PCT 029                1246                          150                           12.04%
JOLIET PCT 030                1219                          62                            5.09%
JOLIET PCT 031                1163                          240                           20.64%
JOLIET PCT 032                1163                          179                           15.39%
JOLIET PCT 033                1125                          203                           18.04%
JOLIET PCT 034                1277                          208                           16.29%
JOLIET PCT 035                1365                          194                           14.21%
JOLIET PCT 036                1170                          147                           12.56%
JOLIET PCT 037                1212                          140                           11.55%
LOCKPORT PCT 001              1732                          271                           15.65%
LOCKPORT PCT 002              1558                          69                            4.43%
LOCKPORT PCT 003              1437                          88                            6.12%
LOCKPORT PCT 004              1258                          68                            5.41%
LOCKPORT PCT 005              1292                          123                           9.52%
LOCKPORT PCT 006              1576                          48                            3.05%
LOCKPORT PCT 007              1535                          50                            3.26%
LOCKPORT PCT 008              1371                          43                            3.14%
LOCKPORT PCT 009              1779                          210                           11.80%
LOCKPORT PCT 010              1354                          162                           11.96%
LOCKPORT PCT 011              1382                          254                           18.38%
LOCKPORT PCT 012              1336                          162                           12.13%
LOCKPORT PCT 013              1989                          506                           25.44%
LOCKPORT PCT 014              1171                          168                           14.35%
LOCKPORT PCT 015              1159                          62                            5.35%
LOCKPORT PCT 016              1399                          248                           17.73%
LOCKPORT PCT 017              1395                          354                           25.38%
LOCKPORT PCT 018              1457                          144                           9.88%
LOCKPORT PCT 019              1206                          396                           32.84%
LOCKPORT PCT 020              1236                          148                           11.97%
LOCKPORT PCT 021              1368                          109                           7.97%
LOCKPORT PCT 022              1160                          251                           21.64%
LOCKPORT PCT 023              1014                          201                           19.82%
LOCKPORT PCT 024              1065                          144                           13.52%
MANHATTAN PCT 001             1352                          93                            6.88%
MANHATTAN PCT 002             1472                          181                           12.30%
MANHATTAN PCT 003             1643                          89                            5.42%
MANHATTAN PCT 004             1326                          102                           7.69%
MONEE PCT 001                 1103                          149                           13.51%
MONEE PCT 002                 1246                          315                           25.28%
MONEE PCT 003                 1239                          193                           15.58%
MONEE PCT 004                 1263                          324                           25.65%
MONEE PCT 005                 1286                          322                           25.04%
MONEE PCT 006                 854                           295                           34.54%
MONEE PCT 007                 1160                          431                           37.16%
MONEE PCT 008                 1094                          232                           21.21%
NEW LENOX PCT 001             1214                          172                           14.17%
NEW LENOX PCT 002             1214                          179                           14.74%
NEW LENOX PCT 003             1133                          171                           15.09%
NEW LENOX PCT 004             1007                          248                           24.63%
NEW LENOX PCT 005             1228                          399                           32.49%
NEW LENOX PCT 006             1247                          215                           17.24%
NEW LENOX PCT 007             1621                          169                           10.43%
NEW LENOX PCT 008             1452                          202                           13.91%
NEW LENOX PCT 009             1369                          287                           20.96%
NEW LENOX PCT 010             1273                          482                           37.86%
NEW LENOX PCT 011             1385                          440                           31.77%
NEW LENOX PCT 012             1346                          312                           23.18%
NEW LENOX PCT 013             1336                          274                           20.51%
NEW LENOX PCT 014             1583                          370                           23.37%
NEW LENOX PCT 015             1236                          342                           27.67%
NEW LENOX PCT 016             1280                          458                           35.78%
NEW LENOX PCT 017             1406                          363                           25.82%
NEW LENOX PCT 018             1253                          288                           22.98%
NEW LENOX PCT 019             1398                          378                           27.04%
NEW LENOX PCT 020             1635                          324                           19.82%
PEOTONE PCT 001               1342                          251                           18.70%
PEOTONE PCT 002               1444                          270                           18.70%
PLAINFIELD PCT 001            1335                          78                            5.84%
PLAINFIELD PCT 002            1305                          72                            5.52%
PLAINFIELD PCT 003            1217                          106                           8.71%
PLAINFIELD PCT 004            689                           20                            2.90%
PLAINFIELD PCT 005            1234                          40                            3.24%
PLAINFIELD PCT 006            1262                          34                            2.69%
PLAINFIELD PCT 007            1535                          29                            1.89%
PLAINFIELD PCT 008            1377                          121                           8.79%
PLAINFIELD PCT 009            1520                          130                           8.55%
PLAINFIELD PCT 010            1229                          196                           15.95%
PLAINFIELD PCT 011            661                           17                            2.57%
PLAINFIELD PCT 012            1169                          51                            4.36%
PLAINFIELD PCT 013            1403                          154                           10.98%
PLAINFIELD PCT 014            1269                          129                           10.17%
PLAINFIELD PCT 015            1262                          107                           8.48%
PLAINFIELD PCT 016            1385                          100                           7.22%
PLAINFIELD PCT 017            1405                          81                            5.77%
PLAINFIELD PCT 018            1403                          125                           8.91%
PLAINFIELD PCT 019            1201                          88                            7.33%
PLAINFIELD PCT 020            1323                          110                           8.31%
PLAINFIELD PCT 021            1175                          132                           11.23%
PLAINFIELD PCT 022            1051                          88                            8.37%
PLAINFIELD PCT 023            1148                          142                           12.37%
PLAINFIELD PCT 024            1228                          178                           14.50%
PLAINFIELD PCT 025            1378                          86                            6.24%
PLAINFIELD PCT 026            1156                          61                            5.28%
PLAINFIELD PCT 027            1425                          65                            4.56%
PLAINFIELD PCT 028            1312                          110                           8.38%
PLAINFIELD PCT 029            1229                          117                           9.52%
PLAINFIELD PCT 030            1256                          187                           14.89%
PLAINFIELD PCT 031            1224                          141                           11.52%
PLAINFIELD PCT 032            1187                          151                           12.72%
PLAINFIELD PCT 033            1328                          311                           23.42%
PLAINFIELD PCT 034            1029                          76                            7.39%
PLAINFIELD PCT 035            1186                          112                           9.44%
PLAINFIELD PCT 036            1130                          175                           15.49%
REED PCT 001                  1354                          434                           32.05%
REED PCT 002                  1329                          474                           35.67%
REED PCT 003                  1410                          457                           32.41%
TROY PCT 001                  1463                          111                           7.59%
TROY PCT 002                  1341                          134                           9.99%
TROY PCT 003                  1323                          119                           8.99%
TROY PCT 004                  1261                          284                           22.52%
TROY PCT 005                  1168                          343                           29.37%
TROY PCT 006                  824                           80                            9.71%
TROY PCT 007                  1491                          203                           13.62%
TROY PCT 008                  1204                          400                           33.22%
TROY PCT 009                  1271                          344                           27.07%
TROY PCT 010                  1388                          338                           24.35%
TROY PCT 011                  1563                          626                           40.05%
TROY PCT 012                  1383                          486                           35.14%
TROY PCT 013                  1672                          534                           31.94%
TROY PCT 014                  1376                          324                           23.55%
TROY PCT 015                  1447                          363                           25.09%
TROY PCT 016                  1409                          427                           30.31%
TROY PCT 017                  1457                          372                           25.53%
TROY PCT 018                  1162                          196                           16.87%
TROY PCT 019                  1207                          180                           14.91%
TROY PCT 020                  1477                          298                           20.18%
TROY PCT 021                  1199                          186                           15.51%
TROY PCT 022                  673                           80                            11.89%
TROY PCT 023                  1180                          99                            8.39%
WASHINGTON PCT 001            1233                          270                           21.90%
WASHINGTON PCT 002            1366                          200                           14.64%
WASHINGTON PCT 003            1201                          212                           17.65%
WESLEY PCT 001                1447                          140                           9.68%
WHEATLAND PCT 001             1684                          93                            5.52%
WHEATLAND PCT 002             1413                          304                           21.51%
WHEATLAND PCT 003             1389                          144                           10.37%
WHEATLAND PCT 004             1792                          131                           7.31%
WHEATLAND PCT 005             1556                          195                           12.53%
WHEATLAND PCT 006             1224                          184                           15.03%
WHEATLAND PCT 007             1357                          241                           17.76%
WHEATLAND PCT 008             1344                          229                           17.04%
WHEATLAND PCT 009             1529                          293                           19.16%
WHEATLAND PCT 010             1340                          230                           17.16%
WHEATLAND PCT 011             1388                          93                            6.70%
WHEATLAND PCT 012             1325                          165                           12.45%
WHEATLAND PCT 013             1203                          139                           11.55%
WHEATLAND PCT 014             1433                          222                           15.49%
WHEATLAND PCT 015             1342                          178                           13.26%
WHEATLAND PCT 016             1497                          90                            6.01%
WHEATLAND PCT 017             1438                          173                           12.03%
WHEATLAND PCT 018             1437                          203                           14.13%
WHEATLAND PCT 019             1168                          101                           8.65%
WHEATLAND PCT 020             1184                          184                           15.54%
WHEATLAND PCT 021             1146                          160                           13.96%
WHEATLAND PCT 022             1291                          105                           8.13%
WHEATLAND PCT 023             1562                          57                            3.65%
WHEATLAND PCT 024             1242                          118                           9.50%
WHEATLAND PCT 025             1524                          57                            3.74%
WHEATLAND PCT 026             1745                          139                           7.97%
WHEATLAND PCT 027             1407                          81                            5.76%
WHEATLAND PCT 028             1578                          82                            5.20%
WHEATLAND PCT 029             1555                          130                           8.36%
WHEATLAND PCT 030             1497                          115                           7.68%
WILL PCT 001                  1106                          89                            8.05%
WILMINGTON PCT 001            1300                          213                           16.38%
WILMINGTON PCT 002            1273                          151                           11.86%
WILMINGTON PCT 003            1305                          335                           25.67%
WILTON PCT 001                585                           212                           36.24%
Total:                        393088                        58989                         15.01%

                                                                                                                                                                       CITY OF BRAIDWOOD MAYOR (Vote For 1)
                                                            William Rulien                                                                                                                                        James A. Vehrs                                                                                                                                        
Precinct                      Registered Voters             ELECTION DAY                  MAIL                          IN-PERSON                     PROVISIONAL                   Choice Total                  ELECTION DAY                  MAIL                          IN-PERSON                     PROVISIONAL                   Choice Total                  Total                         
REED PCT 001                  1354                          137                           6                             27                            1                             171                           233                           6                             19                            0                             258                           429                           
REED PCT 002                  1329                          151                           6                             78                            0                             235                           205                           2                             27                            1                             235                           470                           
REED PCT 003                  1410                          108                           1                             31                            0                             140                           203                           4                             16                            0                             223                           363                           
Totals:                       4093                          396                           13                            136                           1                             546                           641                           12                            62                            1                             716                           1262                          

                                                                                            CITY OF BRAIDWOOD COMMISSIONER OF ACCOUNTS AND FINANCE (Vote For 1)
                                                            Elena M. Hibler                                                                                                                                       
Precinct                      Registered Voters             ELECTION DAY                  MAIL                          IN-PERSON                     PROVISIONAL                   Choice Total                  Total                         
REED PCT 001                  1354                          317                           10                            43                            1                             371                           371                           
REED PCT 002                  1329                          297                           7                             97                            1                             402                           402                           
REED PCT 003                  1410                          275                           4                             43                            0                             322                           322                           
Totals:                       4093                          889                           21                            183                           2                             1095                          1095                          

                                                                                                                                                                       CITY OF BRAIDWOOD COMMISSIONER OF PUBLIC HEALTH AND SAFETY (Vote For 1)
                                                            Jamie Blackwell                                                                                                                                       Eric L. Tessler                                                                                                                                       
Precinct                      Registered Voters             ELECTION DAY                  MAIL                          IN-PERSON                     PROVISIONAL                   Choice Total                  ELECTION DAY                  MAIL                          IN-PERSON                     PROVISIONAL                   Choice Total                  Total                         
REED PCT 001                  1354                          197                           6                             16                            0                             219                           167                           6                             29                            1                             203                           422                           
REED PCT 002                  1329                          153                           1                             22                            1                             177                           193                           7                             80                            0                             280                           457                           
REED PCT 003                  1410                          149                           2                             11                            0                             162                           163                           3                             35                            0                             201                           363                           
Totals:                       4093                          499                           9                             49                            1                             558                           523                           16                            144                           1                             684                           1242                          

                                                                                                                                                                       CITY OF BRAIDWOOD COMMISSIONER OF STREETS AND PUBLIC IMPROVEMENTS (Vote For 1)
                                                            Daniel K. Graf                                                                                                                                        Fay Smith                                                                                                                                             
Precinct                      Registered Voters             ELECTION DAY                  MAIL                          IN-PERSON                     PROVISIONAL                   Choice Total                  ELECTION DAY                  MAIL                          IN-PERSON                     PROVISIONAL                   Choice Total                  Total                         
REED PCT 001                  1354                          149                           9                             25                            0                             183                           215                           2                             21                            1                             239                           422                           
REED PCT 002                  1329                          165                           6                             68                            0                             239                           177                           2                             33                            1                             213                           452                           
REED PCT 003                  1410                          131                           2                             33                            0                             166                           176                           3                             12                            0                             191                           357                           
Totals:                       4093                          445                           17                            126                           0                             588                           568                           7                             66                            2                             643                           1231                          

                                                                                                                                                                       CITY OF BRAIDWOOD COMMISSIONER OF PUBLIC PROPERTY (Vote For 1)
                                                            Timothy Duran                                                                                                                                         James Hutton                                                                                                                                          
Precinct                      Registered Voters             ELECTION DAY                  MAIL                          IN-PERSON                     PROVISIONAL                   Choice Total                  ELECTION DAY                  MAIL                          IN-PERSON                     PROVISIONAL                   Choice Total                  Total                         
REED PCT 001                  1354                          136                           4                             23                            0                             163                           223                           8                             22                            1                             254                           417                           
REED PCT 002                  1329                          147                           2                             60                            0                             209                           198                           6                             42                            1                             247                           456                           
REED PCT 003                  1410                          114                           1                             22                            0                             137                           196                           4                             25                            0                             225                           362                           
Totals:                       4093                          397                           7                             105                           0                             509                           617                           18                            89                            2                             726                           1235                          

                                                                                                                                                                                                                                                  CITY OF CREST HILL ALDERMAN WARD 1 (Vote For 1)
                                                            John S. Vershay (IND)                                                                                                                                 Gordon Butler (IND)                                                                                                                                   Joseph R. Casagrande (IND)                                                                                                                            
Precinct                      Registered Voters             ELECTION DAY                  MAIL                          IN-PERSON                     PROVISIONAL                   Choice Total                  ELECTION DAY                  MAIL                          IN-PERSON                     PROVISIONAL                   Choice Total                  ELECTION DAY                  MAIL                          IN-PERSON                     PROVISIONAL                   Choice Total                  Total                         
LOCKPORT PCT 015              1159                          1                             0                             0                             0                             1                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             1                             
LOCKPORT PCT 021              1368                          6                             0                             0                             0                             6                             0                             0                             0                             0                             0                             2                             0                             0                             0                             2                             8                             
LOCKPORT PCT 022              1160                          85                            1                             7                             0                             93                            87                            3                             5                             2                             97                            51                            6                             2                             0                             59                            249                           
LOCKPORT PCT 023              1014                          85                            5                             6                             0                             96                            61                            0                             4                             2                             67                            27                            6                             2                             0                             35                            198                           
