Election: 2005 Consolidated
Jurisdiction:  Winnebago
Date:  2005-04-05 00:00:00
Registered Voters:  105758
Ballots Cast:  19204
Voter Turnout:  18
Active Precincts:  126

Election: 2005 Consolidated
Contest: CHERRY VLY PRES
Candidate Name,Total Votes,Vote %
DALE B. ADAMS (NP), 663, 61.22, 
THOMAS WALLACE (NP), 419, 38.69, 
Write-in (NP), 1, 0.09, 

Contest: ROCKTON CLERK
Candidate Name,Total Votes,Vote %
JAN MODERSOHN (NP), 916, 99.57, 
Write-in (NP), 4, 0.43, 

Contest: ROCKTON TRUSTEE
Candidate Name,Total Votes,Vote %
TIMOTHY A. SLOCUM (NP), 703, 23.83, 
DAVE WINTERS (NP), 650, 22.03, 
TERRI FLODEEN (NP), 602, 20.41, 
SCOTT FRIDLY (NP), 586, 19.86, 
RONALD E. BAILOR (NP), 400, 13.56, 
Write-in (NP), 9, 0.31, 

Contest: ROSCOE CLERK
Candidate Name,Total Votes,Vote %
BONNIE L. MILES (NP), 732, 98.65, 
Write-in (NP), 10, 1.35, 

Contest: ROSCOE TRUSTEE
Candidate Name,Total Votes,Vote %
KATHERINE G. GREEN-K (NP), 482, 19.17, 
SCOTT D. RICHARDSON (NP), 468, 18.62, 
STEPHEN BRANCH (NP), 457, 18.18, 
DONA J. ZOPP (NP), 423, 16.83, 
RON CLEWER (NP), 358, 14.24, 
LOWELL SMITH (NP), 321, 12.77, 
Write-in (NP), 5, 0.2, 

Contest: WINNEBAGO PRES
Candidate Name,Total Votes,Vote %
STEPHEN L. BUTLER (NP), 421, 93.56, 
Write-in (NP), 29, 6.44, 

Contest: WINNEBAGO CLERK
Candidate Name,Total Votes,Vote %
SALLY JO HUGGINS (NP), 492, 99.19, 
Write-in (NP), 4, 0.81, 

Contest: WINNEBAGO TRUSTEE
Candidate Name,Total Votes,Vote %
ROGER T. SMITH (NP), 366, 26.68, 
CATHLEEN M. DIXON (NP), 353, 25.73, 
BRIAN KENNETH COLLOT (NP), 344, 25.07, 
DONALD E. KIMES (NP), 303, 22.08, 
Write-in (NP), 6, 0.44, 

Contest: BURRITT TWP SUPR
Candidate Name,Total Votes,Vote %
MICHAEL J. CRANDALL (NP), 131, 99.24, 
Write-in (NP), 1, 0.76, 

Contest: BURRITT TWP CLK
Candidate Name,Total Votes,Vote %
DELORES E. SCHELM (NP), 129, 99.23, 
Write-in (NP), 1, 0.77, 

Contest: BURRITT TWP HWY
Candidate Name,Total Votes,Vote %
GARY SCHUMACHER (NP), 114, 94.21, 
Write-in (NP), 7, 5.79, 

Contest: BURRITT TWP TRST
Candidate Name,Total Votes,Vote %
ROGER McDOUGALL (NP), 122, 26.41, 
ALLEN FERLING (NP), 117, 25.32, 
HELWIG (NP), 111, 24.03, 
TONY GROTTO (NP), 109, 23.59, 
Write-in (NP), 3, 0.65, 

Contest: CHERRY VLY TWP SUPR
Candidate Name,Total Votes,Vote %
RANDY F. STURM (NP), 1462, 98.58, 
Write-in (NP), 21, 1.42, 
NO CANDIDATE (NP), 0, 0, 

Contest: CHERRY VLY TWP CLK
Candidate Name,Total Votes,Vote %
BRIAN FLYNN (NP), 1436, 99.17, 
Write-in (NP), 12, 0.83, 
NO CANDIDATE (NP), 0, 0, 

Contest: CHERRY VLY TWP HWY
Candidate Name,Total Votes,Vote %
PAT O&#039;DONNELL (NP), 1024, 58.31, 
KEVIN FAGAN (NP), 731, 41.63, 
Write-in (NP), 1, 0.06, 
NO CANDIDATE (NP), 0, 0, 

Contest: CHERRY VLY TWP ASSR
Candidate Name,Total Votes,Vote %
WENDY OWANO (NP), 912, 51.44, 
DANIELLE RUMPLE (NP), 859, 48.45, 
Write-in (NP), 2, 0.11, 
NO CANDIDATE (NP), 0, 0, 

Contest: CHERRY VLY TWP TRST
Candidate Name,Total Votes,Vote %
JIM PARKER (NP), 1319, 25.41, 
KEVIN P. SHEEHAN (NP), 1308, 25.2, 
S. TERRY SCAMP (NP), 1282, 24.7, 
WILLIAM WETZBARGER (NP), 1258, 24.24, 
Write-in (NP), 23, 0.44, 
NO CANDIDATE (NP), 0, 0, 

Contest: DURAND TWP SUPR
Candidate Name,Total Votes,Vote %
EDWARD L. MUELLER (NP), 364, 99.73, 
Write-in (NP), 1, 0.27, 

Contest: DURAND TWP CLK
Candidate Name,Total Votes,Vote %
LOLITA DITZLER (NP), 380, 100, 
Write-in (NP), 0, 0, 

Contest: DURAND TWP HWY
Candidate Name,Total Votes,Vote %
KIM STEWARD (NP), 375, 99.73, 
Write-in (NP), 1, 0.27, 

Contest: DURAND TWP TRST
Candidate Name,Total Votes,Vote %
DAVID E. MEISSEN (NP), 348, 34.73, 
VELBUR LINCOLN (NP), 320, 31.94, 
NEIL F. DREIER (NP), 312, 31.14, 
Write-in (NP), 22, 2.2, 

Contest: HARLEM TWP SUPR
Candidate Name,Total Votes,Vote %
DOUGLAS R. AURAND (NP), 4648, 99, 
Write-in (NP), 47, 1, 
NO CANDIDATE (NP), 0, 0, 

Contest: HARLEM TWP CLK
Candidate Name,Total Votes,Vote %
SHERYL CROWLEY (NP), 4441, 99.46, 
Write-in (NP), 24, 0.54, 
NO CANDIDATE (NP), 0, 0, 

Contest: HARLEM TWP ASSR
Candidate Name,Total Votes,Vote %
BERERLY (BEV) CARRE (NP), 4401, 99.26, 
Write-in (NP), 33, 0.74, 
NO CANDIDATE (NP), 0, 0, 

Contest: HARLEM TWP HWY
Candidate Name,Total Votes,Vote %
BOB PILCHER (NP), 4385, 99.23, 
Write-in (NP), 34, 0.77, 
NO CANDIDATE (NP), 0, 0, 

Contest: HARLEM TWP TRST
Candidate Name,Total Votes,Vote %
PHILLIP R. JOHNSON (NP), 4031, 25.37, 
LINDA MOORE-WOODROW (NP), 3989, 25.1, 
DARRIN E. GOLDEN (NP), 3933, 24.75, 
ANTHONY L. MICELI (NP), 3874, 24.38, 
Write-in (NP), 64, 0.4, 
NO CANDIDATE (NP), 0, 0, 

Contest: HARRISON TWP SUPR
Candidate Name,Total Votes,Vote %
DENNIS WILKE (NP), 66, 100, 
Write-in (NP), 0, 0, 

Contest: HARRISON TWP CLK
Candidate Name,Total Votes,Vote %
SANDRA TUCKER (NP), 66, 100, 
Write-in (NP), 0, 0, 

Contest: HARRISON TWP HWY
Candidate Name,Total Votes,Vote %
LOREN DAVIS (NP), 64, 98.46, 
Write-in (NP), 1, 1.54, 

Contest: HARRISON TWP TRST
Candidate Name,Total Votes,Vote %
ROBERT KINNEY (NP), 64, 33.16, 
DWIGHT LAWSON (NP), 62, 32.12, 
KERWOOD WATTS (NP), 61, 31.61, 
Write-in (NP), 6, 3.11, 

Contest: LAONA TWP SUPR
Candidate Name,Total Votes,Vote %
J.RONALD WALDSCHMIDT (NP), 130, 100, 
Write-in (NP), 0, 0, 

Contest: LAONA TWP CLK
Candidate Name,Total Votes,Vote %
LUCILLE A. DUERST (NP), 134, 100, 
Write-in (NP), 0, 0, 

Contest: LAONA TWP HWY
Candidate Name,Total Votes,Vote %
RANDY HUNT (NP), 123, 99.19, 
Write-in (NP), 1, 0.81, 

Contest: LAONA TWP TRST
Candidate Name,Total Votes,Vote %
GERALD DUERST (NP), 131, 25.49, 
JUDITH JOHNSON (NP), 129, 25.1, 
SANDRA DOLAN (NP), 127, 24.71, 
RUSSELL W. STAUFFER (NP), 127, 24.71, 
Write-in (NP), 0, 0, 

Contest: OWEN TWP SUPR
Candidate Name,Total Votes,Vote %
OWEN T. BACH (NP), 695, 99.29, 
Write-in (NP), 5, 0.71, 

Contest: OWEN TWP CLK
Candidate Name,Total Votes,Vote %
TOM RAGNAR (NP), 684, 99.42, 
Write-in (NP), 4, 0.58, 

Contest: OWEN TWP ASSR
Candidate Name,Total Votes,Vote %
TRENT FERGUSON (NP), 468, 57.78, 
JOLYN M. FASULA (NP), 342, 42.22, 
Write-in (NP), 0, 0, 

Contest: OWEN TWP HWY
Candidate Name,Total Votes,Vote %
BOB McWILLIAMS (NP), 660, 99.7, 
Write-in (NP), 2, 0.3, 

Contest: OWEN TWP TRST
Candidate Name,Total Votes,Vote %
BEN K. SCHLEICHER (NP), 651, 25.85, 
ROGER FENELON (NP), 632, 25.1, 
NORD SWANSTROM (NP), 620, 24.62, 
GERALD WILTFANG (NP), 612, 24.31, 
Write-in (NP), 3, 0.12, 

Contest: PECATONICA TWP SUPR
Candidate Name,Total Votes,Vote %
JAMES A. ANDERSON (NP), 603, 51.54, 
ROBERT G. EISS (NP), 566, 48.38, 
Write-in (NP), 1, 0.09, 

Contest: PECATONICA TWP CLK
Candidate Name,Total Votes,Vote %
DOROTHEE McAULIFFE (NP), 1021, 100, 
Write-in (NP), 0, 0, 

Contest: PECATONICA TWP HWY
Candidate Name,Total Votes,Vote %
BRUCE T. LIZER (NP), 1067, 99.53, 
Write-in (NP), 5, 0.47, 

Contest: PECATONICA TWP TRST
Candidate Name,Total Votes,Vote %
RICHARD A. ZIMMERMAN (NP), 1005, 33.47, 
FRANCIS (NP), 960, 31.97, 
STEVE BARDELL (NP), 951, 31.67, 
Write-in (NP), 87, 2.9, 

Contest: ROCKFORD TWP SUPR
Candidate Name,Total Votes,Vote %
MICHAEL J.  GORAL (NP), 2739, 62.69, 
GERALD O. ALBERT (NP), 1627, 37.24, 
Write-in (NP), 3, 0.07, 

Contest: ROCKFORD TWP CLK
Candidate Name,Total Votes,Vote %
DIANE DALPRAMITCHELL (NP), 3440, 98.94, 
Write-in (NP), 37, 1.06, 
NO CANDIDATE (NP), 0, 0, 

Contest: ROCKFORD TWP ASSR
Candidate Name,Total Votes,Vote %
RAYMOND (RAY) HODGES (NP), 2124, 50.28, 
KENNETH R. CROWLEY (NP), 2097, 49.64, 
Write-in (NP), 3, 0.07, 

Contest: ROCKFORD TWP HWY
Candidate Name,Total Votes,Vote %
PETER M. MacKAY (NP), 2572, 59.32, 
ELMER JONES (NP), 1763, 40.66, 
Write-in (NP), 1, 0.02, 

Contest: ROCKFORD TWP TRST
Candidate Name,Total Votes,Vote %
GREG TUITE (NP), 2685, 17.54, 
PHILIP J. NICOLOSI (NP), 2519, 16.45, 
WILLIAM K. SJOSTROM (NP), 2298, 15.01, 
JOHN A. RUNDQUIST (NP), 2203, 14.39, 
MICHAEL D. OLSON (NP), 2026, 13.23, 
JASPER ST. ANGEL (NP), 1920, 12.54, 
TERRANCE C. BELL (NP), 1630, 10.65, 
Write-in (NP), 30, 0.2, 

Contest: ROCKTON TWP SUPR
Candidate Name,Total Votes,Vote %
KATHIE GUMMOW (NP), 1115, 67.49, 
JACK R. COOK JR. (NP), 537, 32.51, 
Write-in (NP), 0, 0, 

Contest: ROCKTON TWP CLK
Candidate Name,Total Votes,Vote %
MARGARET CURTTRIGHT (NP), 1321, 99.62, 
Write-in (NP), 5, 0.38, 

Contest: ROCKTON TWP ASSR
Candidate Name,Total Votes,Vote %
SANCHA K. MELCHER (NP), 1227, 99.03, 
Write-in (NP), 12, 0.97, 

Contest: ROCKTON TWP HWY
Candidate Name,Total Votes,Vote %
MATTHEW S. CUYLER (NP), 1226, 99.67, 
Write-in (NP), 4, 0.33, 

Contest: ROCKTON TWP TRST
Candidate Name,Total Votes,Vote %
PETER CHURCH (NP), 1218, 25.37, 
DEAN G. MOHRING (NP), 1214, 25.29, 
THOMAS E. JENCIUS (NP), 1182, 24.62, 
RUSSELL TIRITILLI (NP), 1169, 24.35, 
Write-in (NP), 18, 0.37, 

Contest: ROSCOE TWP SUPR
Candidate Name,Total Votes,Vote %
TOM HAWES (NP), 892, 97.59, 
Write-in (NP), 22, 2.41, 
NO CANDIDATE (NP), 0, 0, 

Contest: ROSCOE TWP CLK
Candidate Name,Total Votes,Vote %
ANDREW MURRAY JR. (NP), 882, 99.1, 
Write-in (NP), 8, 0.9, 
NO CANDIDATE (NP), 0, 0, 

Contest: ROSCOE TWP ASSR
Candidate Name,Total Votes,Vote %
JOANN L. KENNINGTON (NP), 884, 99.1, 
Write-in (NP), 8, 0.9, 
NO CANDIDATE (NP), 0, 0, 

Contest: ROSCOE TWP HWY
Candidate Name,Total Votes,Vote %
MATTHEW SERVANT (NP), 887, 99.11, 
Write-in (NP), 8, 0.89, 
NO CANDIDATE (NP), 0, 0, 

Contest: ROSCOE TWP TRST
Candidate Name,Total Votes,Vote %
PAT HENDERSON (NP), 837, 25.38, 
TODD PIPER (NP), 828, 25.11, 
DAVID WADE (NP), 812, 24.62, 
STEVEN A. CONNELL (NP), 809, 24.53, 
Write-in (NP), 12, 0.36, 
NO CANDIDATE (NP), 0, 0, 

Contest: SEWARD TWP SUPR
Candidate Name,Total Votes,Vote %
GARELT S. STAHL (NP), 301, 98.69, 
Write-in (NP), 4, 1.31, 

Contest: SEWARD TWP CLK
Candidate Name,Total Votes,Vote %
JAMES K. MONGE (NP), 283, 100, 
Write-in (NP), 0, 0, 

Contest: SEWARD TWP HWY
Candidate Name,Total Votes,Vote %
JIM STAHL (NP), 185, 53.16, 
GLENN E. BURKHART (NP), 163, 46.84, 
Write-in (NP), 0, 0, 

Contest: SEWARD TWP TRST
Candidate Name,Total Votes,Vote %
BARBARA L. HAZZARD (NP), 294, 25.99, 
JOHN H. BEHN, JR. (NP), 282, 24.93, 
GARY R. JOHNSON (NP), 280, 24.76, 
RICHARD I. BEUTH (NP), 272, 24.05, 
Write-in (NP), 3, 0.27, 

Contest: SHIRLAND TWP SUPR
Candidate Name,Total Votes,Vote %
HELEN J. WEAVER (NP), 92, 93.88, 
Write-in (NP), 6, 6.12, 

Contest: SHIRLAND TWP CLK
Candidate Name,Total Votes,Vote %
LaNITA GILLETT (NP), 88, 98.88, 
Write-in (NP), 1, 1.12, 

Contest: SHIRLAND TWP HWY
Candidate Name,Total Votes,Vote %
CURTIS B. McNAMES (NP), 97, 96.04, 
Write-in (NP), 4, 3.96, 

Contest: SHIRLAND TWP TRST
Candidate Name,Total Votes,Vote %
FREDRICK L NIMMER (NP), 98, 27.76, 
CHARLES A. BOYER (NP), 96, 27.2, 
MARYLOU R. PERTZ (NP), 79, 22.38, 
LINDA M. DORNEY (NP), 77, 21.81, 
Write-in (NP), 3, 0.85, 

Contest: WINNEBAGO TWP SUPR
Candidate Name,Total Votes,Vote %
CHARLES A. LIND (NP), 460, 54.83, 
JACK R. ROWLEY (NP), 378, 45.05, 
Write-in (NP), 1, 0.12, 

Contest: WINNEBAGO TWP CLK
Candidate Name,Total Votes,Vote %
PATRICIA J. WAKELEY (NP), 718, 99.86, 
Write-in (NP), 1, 0.14, 

Contest: WINNEBAGO TWP ASSR
Candidate Name,Total Votes,Vote %
JAMES H. MITCHELL (NP), 721, 99.31, 
Write-in (NP), 5, 0.69, 

Contest: WINNEBAGO TWP HWY
Candidate Name,Total Votes,Vote %
TIM MITCHELL (NP), 385, 44.1, 
LYNN COOTS (NP), 342, 39.18, 
DAVE HASSEL (NP), 146, 16.72, 
Write-in (NP), 0, 0, 

Contest: WINNEBAGO TWP TRST
Candidate Name,Total Votes,Vote %
JOHN D. WEERDA (NP), 689, 33.56, 
MARK R. HAZZARD (NP), 664, 32.34, 
DAVID HEEREN (NP), 660, 32.15, 
Write-in (NP), 40, 1.95, 

Contest: MTA 1 BURRITT AND HARRISON
Candidate Name,Total Votes,Vote %
THOMAS STOCKBURGER (NP), 181, 99.45, 
Write-in (NP), 1, 0.55, 

Contest: MTA 2 DURAND AND LAONA TOWNSHIPS
Candidate Name,Total Votes,Vote %
PAULA CULL (NP), 481, 99.59, 
Write-in (NP), 2, 0.41, 

Contest: MTA 3 PECATONICA AND SEWARD TOWNSHIPS
Candidate Name,Total Votes,Vote %
SCOTT L. WHITNEY (NP), 1344, 99.78, 
Write-in (NP), 3, 0.22, 

Contest: ROCKFORD PARK Race 1000
Candidate Name,Total Votes,Vote %
DOUGLAS J. BROOKS (NP), 4644, 99.61, 
Write-in (NP), 18, 0.39, 

Contest: ROCKFORD PARK Race 1010
Candidate Name,Total Votes,Vote %
NATHANIEL MARTIN (NP), 4609, 99.76, 
Write-in (NP), 11, 0.24, 

Contest: SUMNER PARK
Candidate Name,Total Votes,Vote %
PAMELA S. HUTTING (NP), 1114, 51.89, 
RICK E. BOOK (NP), 1026, 47.79, 
Write-in (NP), 7, 0.33, 

Contest: WINNEBAGO PARK Race 1030
Candidate Name,Total Votes,Vote %
MARK R. MURRAY (NP), 663, 50.53, 
ROBERT MILLER (NP), 646, 49.24, 
Write-in (NP), 3, 0.23, 

Contest: WINNEBAGO PARK Race 1040
Candidate Name,Total Votes,Vote %
MARY BETH ELSEN (NP), 742, 99.73, 
Write-in (NP), 2, 0.27, 

Contest: CHERRY VLY LIBRARY TRUSTEE
Candidate Name,Total Votes,Vote %
DONNA M. RIHA (NP), 1761, 35, 
E MICH LINDSAYJONES (NP), 1655, 32.9, 
MATTHEW P. ADAS (NP), 1611, 32.02, 
Write-in (NP), 4, 0.08, 

Contest: NORTH SUBURBAN LIBRARY TRUSTEE
Candidate Name,Total Votes,Vote %
JANE E. BURDEN (NP), 6071, 51.06, 
JOAN ZAWLOCKI (NP), 5796, 48.74, 
Write-in (NP), 24, 0.2, 

Contest: PECATONICA LIBRARY TRUSTEE
Candidate Name,Total Votes,Vote %
MICHELE KLOSTER (NP), 1165, 52.34, 
BARBARA O. LIZER (NP), 1058, 47.53, 
Write-in (NP), 3, 0.13, 

Contest: TALCOTT FREE LIBRARY TRUSTEE Race 1080
Candidate Name,Total Votes,Vote %
PRISCILLA KEEFER (NP), 1145, 25.66, 
WILLIAM CURTIS (NP), 1119, 25.07, 
STEVEN STEINMETZ (NP), 1103, 24.71, 
DAVID KENNINGTON (NP), 1095, 24.54, 
Write-in (NP), 1, 0.02, 

Contest: TALCOTT FREE LIBRARY TRUSTEE Race 1090
Candidate Name,Total Votes,Vote %
WENDY COMSTOCK (NP), 1069, 99.72, 
Write-in (NP), 3, 0.28, 

Contest: WINNEBAGO LIBRARY TRUSTEE Race 1100
Candidate Name,Total Votes,Vote %
DALE E. BOWEN (NP), 1017, 50, 
DAVID A. TURNER (NP), 1016, 49.95, 
Write-in (NP), 1, 0.05, 

Contest: WINNEBAGO LIBRARY TRUSTEE Race 1110
Candidate Name,Total Votes,Vote %
ARLEEN SLOCUM-MEYERS (NP), 1121, 99.73, 
Write-in (NP), 3, 0.27, 

Contest: REG BD WINNEBGO AND BOONE
Candidate Name,Total Votes,Vote %
ROBERT PHELPS (NP), 9781, 33.48, 
NETTIE PARKER (NP), 9688, 33.16, 
ANTHONY J. CAPRIOLA, (NP), 9686, 33.15, 
Write-in (NP), 63, 0.22, 

Contest: REG BD DEKALB
Candidate Name,Total Votes,Vote %
LARRY FORSBERG (NP), 8, 57.14, 
THOMAS E. McCREA (NP), 6, 42.86, 
Write-in (NP), 0, 0, 

Contest: REG BD LEE OGLE
Candidate Name,Total Votes,Vote %
ROGER HICKEY (NP), 56, 52.34, 
JAMES DETIG (NP), 51, 47.66, 
Write-in (NP), 0, 0, 

Contest: HARLEM CCSD 122
Candidate Name,Total Votes,Vote %
JACK R. RAMSEY (NP), 3211, 14.4, 
PATTI LAWRENCE (NP), 3001, 13.45, 
RODNEY L. SCOTT (NP), 2843, 12.75, 
KATHY GEYER (NP), 2705, 12.13, 
KAREN E. BELL (NP), 2383, 10.68, 
CHRISTEL WALTERS (NP), 2106, 9.44, 
BRIAN D. WOLF (NP), 2054, 9.21, 
WILLIE D ASHFORD JR. (NP), 1770, 7.94, 
TIM MELVIN (NP), 1559, 6.99, 
DEMETRIS PREWITT (NP), 634, 2.84, 
Write-in (NP), 40, 0.18, 

Contest: KINNIKINNICK SD 131
Candidate Name,Total Votes,Vote %
GLENN A. HEIDENREICH (NP), 666, 25.27, 
CHUCK JOHNSON (NP), 660, 25.04, 
EDWARD B. BUHLMANN (NP), 653, 24.77, 
MICHAEL R. HALLER (NP), 651, 24.7, 
Write-in (NP), 6, 0.23, 

Contest: PRAIRIE HILL SD 133
Candidate Name,Total Votes,Vote %
DENNIS (NP), 200, 21.81, 
JAMES SAUDARGAS (NP), 189, 20.61, 
COLLEEN BELL (NP), 175, 19.08, 
T.J. LARSEN (NP), 157, 17.12, 
VIVIENNE SCHORR (NP), 98, 10.69, 
DEBORAH EDGINGTON (NP), 94, 10.25, 
Write-in (NP), 4, 0.44, 

Contest: SHIRLAND CCSD 134 Race 1180
Candidate Name,Total Votes,Vote %
THERESA MARSHALL (NP), 130, 51.18, 
CARRIE SCHOMMER (NP), 124, 48.82, 
Write-in (NP), 0, 0, 

Contest: SHIRLAND CCSD 134 Race 1190
Candidate Name,Total Votes,Vote %
JULIE YATES (NP), 131, 33.94, 
TIM STORM (NP), 130, 33.68, 
JAN BRUMFIELD (NP), 124, 32.12, 
Write-in (NP), 1, 0.26, 

Contest: ROCKTON SD 140
Candidate Name,Total Votes,Vote %
LAURA NEECE (NP), 1222, 25.29, 
JAMES LaFORGE (NP), 1220, 25.25, 
JAMES MEASON&#039; (NP), 1197, 24.77, 
SARAH PRANEIS (NP), 1186, 24.54, 
Write-in (NP), 7, 0.14, 

Contest: N BOONE CUSD 200
Candidate Name,Total Votes,Vote %
LAURA ZWART (NP), 4, 26.67, 
DONALD WARD (NP), 3, 20, 
LARS E. LEE (NP), 3, 20, 
GLEN GRATZ (NP), 2, 13.33, 
MICHAEL A. LINDBERG (NP), 2, 13.33, 
CHRISTOPHER CUMMINGS (NP), 1, 6.67, 
Twp 45N Rge 4E (NP), 0, 0, 
JOE HOLLE (NP), 0, 0, 
Twp 45N Rge 3E (NP), 0, 0, 
Twp 46N Rge 3E (NP), 0, 0, 
Write-in (NP), 0, 0, 
GLENN HERRMANN (NP), 0, 0, 

Contest: ROCKFORD SD 205-D A
Candidate Name,Total Votes,Vote %
MICHAEL J. WILLIAMS (NP), 239, 98.35, 
Write-in (NP), 4, 1.65, 

Contest: ROCKFORD SD 205-D D
Candidate Name,Total Votes,Vote %
NANCY KALCHBRENNER (NP), 365, 48.8, 
BARB DENT (NP), 275, 36.76, 
MARK THOMPSON (NP), 108, 14.44, 
Write-in (NP), 0, 0, 

Contest: ROCKFORD SD 205-D F
Candidate Name,Total Votes,Vote %
JAY A. NELLIS (NP), 1565, 98.99, 
Write-in (NP), 16, 1.01, 

Contest: HONONEGAH HS 207
Candidate Name,Total Votes,Vote %
TANA M. VETTORE (NP), 1219, 13.23, 
